.,.heading,,.,,Process,Total,Total,eco-costs of,eco-costs of,eco-costs of,eco-costs of,Carbon ,Carbon ,CED,ReCiPe2016,ReCiPe2016,ReCiPe,ReCiPe,ReCiPe,ReCiPe,ReCiPe,ReCiPe,EF 3.1,EF 3.1,carbon,pollutants,water,biodiversity,resources,ClassyFire,"chemicals,plastics, and wood",Note:,,,,,,,
.full,.heading,LCI,.,,,eco-costs,eco-costs,human health,protecting,resource,carbon ,Dioxide,Dioxide,(Total),endpoint (Pt),endpoint H/A,human health,ecotoxicity,resources,human health,ecotoxicity,resources,Total,Total,ecocosts,ecocosts,ecocosts,ecocosts,ecocosts,subclass,,Idemat data based on Ecoinvent can be found at the blackboard of the Delft University of Technology,,,,,,,
.nr,.heading,.    number,.,unit,,euro,bars,euro,nature     euro ,scarcity   euro,footprint  euro,kgCO2e,bars,MJ,World(2010) H/A,bars,Pt,Pt,Pt,DALY,species.year,USD2013,Pt,bars,ESRS E1,ESRS E2,ESRS E3,ESRS E4,ESRS E5,name,alternative names,,,,,,,,
,,,MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.010.04.108.230701 Soy oil - refined at coast Brazil,agriculture,A.010.04.108,"Materials, agricultural, others",kg ,Soy oil - refined at coast Brazil,1.64,1.64,0.01,0.68,0.02,0.93,6.18,6.18,7.7,0.1037445,0.10,0.098531829,0.004767491,0.000445182,5.90718E-06,1.76313E-08,0.062350374,0.000188116,0.00,0.92633718,0.029371602,0.0164047,0.675448495,0.020426136,,,,,,,,,,
A.010.04.109.230701 Soy oil - refined at coast USA,agriculture,A.010.04.109,"Materials, agricultural, others",kg ,Soy oil - refined at coast USA,0.11,0.11,0.01,0.01,0.01,0.08,0.51,0.51,6.1,0.011124222,0.01,0.010324752,0.000460927,0.000338542,6.1899E-07,1.70461E-09,0.04741488,2.70E-05,0.00,0.076231166,0.022471816,0.013467904,0.013890772,0.014329136,,,,,,,,,,
A.010.04.110.230701 Soybean grain - harvested and transported to coast Brazil,agriculture,A.010.04.110,"Materials, agricultural, others",kg ,Soybean grain - harvested and transported to coast Brazil,1.51,1.51,0.01,0.63,0.02,0.85,5.67,5.67,5.1,0.094654345,0.09,0.089966622,0.004360819,0.000326904,5.39368E-06,1.61273E-08,0.045784809,0.000169084,0.00,0.85074747,0.02077238,0.012681924,0.633330298,0.018179894,,,,,,,,,,
A.010.04.111.230701 Soybean grain - harvested and transported to coast USA,agriculture,A.010.04.111,"Materials, agricultural, others",kg ,Soybean grain - harvested and transported to coast USA,0.08,0.08,0.00,0.01,0.01,0.05,0.33,0.33,3.6,0.00742993,0.01,0.006898306,0.000305147,0.000226477,4.13568E-07,1.1285E-09,0.031719425,1.73E-05,0.00,0.050166868,0.014274561,0.00991622,0.010313554,0.012438091,,,,,,,,,,
A.010.04.112.230701 Soybean oil crude - degummed at coast Brazil,agriculture,A.010.04.112,"Materials, agricultural, others",kg ,Soybean oil crude - degummed at coast Brazil,1.57,1.57,0.01,0.65,0.02,0.89,5.93,5.93,7.4,0.099680374,0.10,0.094673501,0.004581021,0.000425852,5.67587E-06,1.69416E-08,0.059643168,0.000180674,0.00,0.89013342,0.028162426,0.015725471,0.64942139,0.019539177,,,,,,,,,,
"A.010.04.113.230701 Soybean oil, crude - degummed at coast USA",agriculture,A.010.04.113,"Materials, agricultural, others",kg ,"Soybean oil, crude - degummed at coast USA",0.11,0.11,0.01,0.01,0.01,0.07,0.48,0.48,5.8,0.010622413,0.01,0.009859005,0.000440095,0.000323314,5.91067E-07,1.62757E-09,0.045282116,2.57E-05,0.00,0.072723789,0.021528016,0.012901629,0.013308197,0.013676676,,,,,,,,,,
,,,"Materials, agricultural, plant oils ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.010.06.101.230701 Palm oil in Rotterdam,agriculture,A.010.06.101,"Materials, agricultural, plant oils ",kg ,Palm oil in Rotterdam,0.81,0.81,0.01,0.63,0.02,0.15,1.02,1.02,44.8,0.024846436,0.02,0.023567485,0.001011533,0.000267418,1.41292E-06,3.74087E-09,0.037453562,4.25E-05,0.00,0.15369884,0.029204127,0.020149578,0.629543217,0.022323213,,,,,,,,,,
A.010.06.102.230701 Rape oil Europe,agriculture,A.010.06.102,"Materials, agricultural, plant oils ",kg ,Rape oil Europe,0.48,0.48,0.01,0.38,0.01,0.09,0.61,0.61,43.3,0.017680747,0.02,0.01663909,0.000765415,0.000276242,9.97547E-07,2.83068E-09,0.038689329,6.62E-05,0.00,0.09094841,0.383581541,0.378239998,0.379072505,0.005651016,,,,,,,,,,
A.010.06.103.230701 Soybean oil from Brazil in Rotterdam,agriculture,A.010.06.103,"Materials, agricultural, plant oils ",kg ,Soybean oil from Brazil in Rotterdam,1.65,1.65,0.01,0.68,0.02,0.93,6.23,6.23,47.5,0.1051728,0.11,0.099854926,0.004818989,0.000498887,5.98651E-06,1.78217E-08,0.069872155,0.000191143,0.00,0.93461021,0.031770309,0.018212158,0.677487834,0.024986639,,,,,,,,,,
A.010.06.104.230701 Soybean oil from USA in Rotterdam,agriculture,A.010.06.104,"Materials, agricultural, plant oils ",kg ,Soybean oil from USA in Rotterdam,0.13,0.13,0.01,0.02,0.02,0.08,0.55,0.55,45.8,0.012306914,0.01,0.011418947,0.000503916,0.000384051,6.84589E-07,1.86359E-09,0.053788712,2.95E-05,0.00,0.083163266,0.024527681,0.014959789,0.015614517,0.018115517,,,,,,,,,,
,,,"Materials, agricultural, plant production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.010.08.101.230701 bio-Cotton China,agriculture,A.010.08.101,"Materials, agricultural, plant production",kg ,bio-Cotton China,0.96,0.96,0.00,0.00,0.91,0.04,0.29,0.29,5.0,0.033623169,0.03,0.030712017,0.002739722,0.00017143,1.84125E-06,1.01321E-08,0.024009786,0.000650909,0.00,0.042919766,0.00712826,0.902181628,0.0049162,0.013148797,,,,,,,,,,
A.010.08.102.230701 bio-Cotton India,agriculture,A.010.08.102,"Materials, agricultural, plant production",kg ,bio-Cotton India,0.89,0.89,0.00,0.01,0.83,0.06,0.38,0.38,6.6,0.032554871,0.03,0.029753973,0.002560511,0.000240387,1.78381E-06,9.46934E-09,0.033667632,0.000591214,0.00,0.056962933,0.008818073,0.812304446,0.006061829,0.018764484,,,,,,,,,,
A.010.08.103.230701 bio-Cotton USA,agriculture,A.010.08.103,"Materials, agricultural, plant production",kg ,bio-Cotton USA,1.00,1.00,0.01,0.01,0.87,0.11,0.76,0.76,13.2,0.048841381,0.05,0.045066826,0.00333074,0.000443815,2.70185E-06,1.23178E-08,0.0621589,0.000523058,0.00,0.11440466,0.015446806,0.844972333,0.01047997,0.03569882,,,,,,,,,,
A.010.08.104.230701 Cotton China,agriculture,A.010.08.104,"Materials, agricultural, plant production",kg ,Cotton China,1.04,1.04,0.01,0.02,0.91,0.10,0.66,0.66,10.4,0.04194631,0.04,0.038370102,0.003062592,0.000513616,2.30037E-06,1.13262E-08,0.071935002,0.000670918,0.00,0.099213887,0.021801568,0.913134881,0.015881818,0.015706243,,,,,,,,,,
A.010.08.105.230701 Cotton India,agriculture,A.010.08.105,"Materials, agricultural, plant production",kg ,Cotton India,1.04,1.04,0.01,0.03,0.83,0.17,1.10,1.10,16.9,0.048618927,0.05,0.044538728,0.003182508,0.00089769,2.67019E-06,1.17696E-08,0.12572695,0.000629913,0.00,0.16520089,0.038730292,0.835015973,0.028798131,0.023849811,,,,,,,,,,
